Mass,Radius,Surface Gravity,Surface Temp,Stellar Temp,Stellar Flux,Metallicity [Fe/H],Semi-major Axis,Eccentricity,Rotation Period,Distance,Transit Duration,ESI,Habitability
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.581636116573407
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.673702999024571
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.722779241413025
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.32648414260681
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.0182233290455419
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.928179309766163
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.890160637271417
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.801497027741292
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.0267132648617849
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.421966501229061
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.901091104536259
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.909891959852134
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.601364843138325
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.4194830922648
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.24668564323959
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.0605871757043492
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.545872951884886
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.173664705632487
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.0027292747959532
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.833728880667919
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.757461162867046
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.434105986757717
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.133379546992265
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.227690156392051
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.814952492933476
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.124925193263132
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.956351581225102
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.880412505963959
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.221740475042479
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.903512131739794
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.900313564783331
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.406480532065211
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.556647446327295
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.32913155719289
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.461352309168227
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.979503497739831
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.777264148615644
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.645210913417146
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.684365179466075
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.207412813166181
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.837585244506644
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.410347912923971
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.866197887202352
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.798757896425776
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.145811343417513
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.812900683637047
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.248430060849684
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.771749241649891
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.744183392132915
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.483715182210577
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.537153151316705
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.369719269994575
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.535126902871189
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.123622614003084
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.772948566563407
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.157096345307623
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.404522310821871
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.393586925178104
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.485767033809874
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.00470785283086506
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.654347950259136
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.370743940546504
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.358449814199733
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.932960625351183
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.0935458513986025
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.523184268964586
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.0968662794437081
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.694791170679706
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.145938442972604
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.207294715031381
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.801531910754652
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.10677682322403
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.894081023658832
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.291940968058772
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.788190076438074
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.459368643995523
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.236680309967118
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.0843403551554908
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.0589885434843571
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.351185403415532
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.398544114654201
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.580583197908845
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.773943026640679
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.1509065180313
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.391527704340991
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.187929764354471
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.466910481815288
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.128302545608652
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.964868829914188
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.617601558335661
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.30116114854923
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.0582833755182944
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.516307908097577
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.957009798199196
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.596326172206909
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.014136186358172
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.98008343989604
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.636154047858666
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.641200048420906
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.895055693383094
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.802172793314515
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.144034423476854
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.968733548769365
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.241998450562645
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.0546922676592025
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.995340859856223
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.569885293770188
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.773613095975695
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.35934475194648
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.979336344806596
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.46577973887844
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.452783558163993
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.568924525886807
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.935561653901029
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.153212621146005
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.292664851440948
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.790082109259393
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.777925680605936
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.0232974293803542
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.673914211492489
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.188573807553468
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.923906774014015
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.975708033985477
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.131878167329612
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.663890688067477
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.180135462742336
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.19732003077728
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.478916937484943
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.50318131032544
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.517837491896222
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.515848840358514
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.572895775483616
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.802171013014667
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.246870182060019
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.150162527421801
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.395012746702887
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.582110151045346
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.122849343266482
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.477804363120701
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.643219336329536
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.705375680171901
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.515449034219959
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.333607189968572
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.242241232606692
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.688929757855965
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.557906917518155
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.481659697567812
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.28090577508419
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.677173500552779
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.0785261497845138
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.665047481282077
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.802717635086063
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.0256872445705142
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.51595415238907
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.12720697961865
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.56132710064898
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.914938014633886
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.240052867561372
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.762455353425057
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.447986546414099
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.941320098642814
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.505605633509667
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.804024822709603
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.0163003793073593
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.0693834019369405
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.11082584954311
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.970181165022545
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.537733769326955
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.774758200454551
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.145574244008739
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.148426922300372
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.0817721112454204
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.206403511866241
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.287859133323281
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.578258316834205
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.916028104633204
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.449775546517753
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.678898606390904
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.7951635369885
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.880636492240687
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.779558566443716
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.78573661401657
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.274910273170461
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.0811480581392977
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.474218253480905
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.793269099478528
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.803602141607469
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.247339821918403
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.407706435799707
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.986648745669015
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.288944754387819
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.0862266332643683
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.349666314531014
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.371176953600585
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.758434492455054
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.706662145352637
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.734790607948612
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.525447223920184
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.397883305262224
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.570804349024189
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.233725857886091
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.978408556174975
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.819201034374676
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.475342077614774
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.839762631206737
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.258513676598251
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.541257147558112
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.600779192499233
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.533782220080832
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.711175380506759
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.831173847164483
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.770399311281997
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.515193424239326
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.101194583292761
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.856417371120766
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.279588136851771
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.762914613590744
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.205556632845999
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.772035268148961
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.732063500021266
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.800855965463964
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.539105841504357
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.641180997215705
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.513463438964105
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.865072972983008
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.483240760412022
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.920633170680741
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.987153162694048
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.16645603224769
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.870075665910452
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.323881997123659
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.357432977991434
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.0880669676295683
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.58350084839821
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.837761544115174
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.321670601078453
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.258235328810749
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.0684857725533171
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.074835828749749
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.0277137412835018
1.45,1.17,1.23,210,3755,0.32,-0.28,0.432,0.02,129.9,492,3.9,0.88,0.48514239251015
220,15.6,0.74,1450,6065,2.39,0.02,0.047,0.006,3.5,150,3.1,0.12,0.743202376399833
6.55,2.7,0.99,393,3026,1.34,0.19,0.014,0.05,38,48,0.95,0.77,0.867486482560003
2.38,2.4,0.91,295,5518,0.79,-0.12,0.849,0.02,289,600,7.2,0.82,0.883687249688041
4.5,1.5,2.2,303,3700,0.9,0.2,0.125,0.1,28.1,23.6,2.5,0.85,0.410013004215453
6.6,1.4,3.3,230,3131,0.46,-0.1,0.09,0.016,24.6,40,1.7,0.91,0.961952863061224
318,18.9,0.46,2500,6300,19.87,0.3,0.0229,0.049,1.1,870,1.1,0.11,0.35726397574552
365.6,13.9,0.94,1200,5040,3.53,-0.03,0.03,0.005,2.2,63,1.9,0.09,0.235187081999665
0.62,0.91,1.12,251,2559,0.66,-0.04,0.029,0.02,6.1,39.6,1.6,0.95,0.90420036817766
8.9,1.3,4.1,209,3042,0.21,0.15,1.49,0.17,185,4.2,4.1,0.68,0.920140213782053
